name,online_order,book_table,votes,"approx_cost(for two people)",listed_in(type),RATE
Jalsa,Yes,Yes,775,800,Buffet,4.1
"Spice Elephant",Yes,No,787,800,Buffet,4.1
"San Churro Cafe",Yes,No,918,800,Buffet,3.8
"Addhuri Udupi Bhojana",No,No,88,300,Buffet,3.7
"Grand Village",No,No,166,600,Buffet,3.8
"Timepass Dinner",Yes,No,286,600,Buffet,3.8
"Rosewood International Hotel - Bar & Restaurant",No,No,8,800,Buffet,3.6
Onesta,Yes,Yes,2556,600,Cafes,4.6
"Penthouse Cafe",Yes,No,324,700,other,4
Smacznego,Yes,No,504,550,Cafes,4.2
"Village Caf̩",Yes,No,402,500,Cafes,4.1
"Cafe Shuffle",Yes,Yes,150,600,Cafes,4.2
"The Coffee Shack",Yes,Yes,164,500,Cafes,4.2
Caf-Eleven,No,No,424,450,Cafes,4
"Cafe Vivacity",Yes,No,918,800,Cafes,3.8
Catch-up-ino,Yes,No,90,650,Cafes,3.8
"Kirthi's Biryani",Yes,No,133,800,Cafes,3.9
"T3H Cafe",Yes,No,144,700,Cafes,3.8
"360 Atoms Restaurant And Cafe",No,No,93,300,Cafes,3.9
"The Vintage Cafe",Yes,No,13,400,Cafes,3.1
"Woodee Pizza",Yes,No,62,400,Cafes,3
"Cafe Coffee Day",Yes,No,180,500,Cafes,3.7
"My Tea House",No,No,28,900,Cafes,3.6
"Hide Out Cafe",Yes,No,62,600,Cafes,3.6
"CAFE NOVA",No,No,31,300,Cafes,3.7
"Coffee Tindi",No,No,11,600,Cafes,3.2
"Sea Green Cafe",Yes,No,75,200,Cafes,3.8
Cuppa,No,No,4,500,Cafes,3.3
"Srinathji's Cafe",No,No,23,550,Cafes,3.3
Redberrys,No,No,148,550,Cafes,3.8
Foodiction,Yes,No,219,600,Cafes,4
"Sweet Truth",Yes,No,506,500,other,2.8
"Ovenstory Pizza",Yes,No,35,500,Dining,3.9
Faasos,Yes,No,172,750,Dining,3.9
"Behrouz Biryani",Yes,No,415,500,other,4.2
"Fast And Fresh",Yes,No,230,650,Dining,3.9
"Szechuan Dragon",Yes,No,91,400,Dining,2.8
"Empire Restaurant",Yes,No,1647,600,Dining,4.2
"Maruthi Davangere Benne Dosa",Yes,No,4884,750,other,4.4
Chaatimes,Yes,No,17,150,Dining,4
"Havyaka Mess",Yes,No,133,200,Dining,3.8
McDonald's,No,No,28,300,Dining,3.9
"Domino's Pizza",Yes,No,286,500,Dining,3.9
Hotboxit,Yes,No,540,800,Dining,3.9
"Kitchen Garden",Yes,Yes,2556,600,other,4.6
Recipe,No,No,36,400,Dining,3.8
"Beijing Bites",Yes,No,244,300,Dining,3.6
"Tasty Bytes",Yes,No,804,450,Dining,4
Petoo,Yes,No,679,850,Dining,3.7
"Shree Cool Point",Yes,No,245,300,Dining,3.1
"Corner House Ice Cream",No,No,21,450,Dining,3.7
"Biryanis And More",Yes,No,28,150,Dining,4.1
"Roving Feast",No,No,345,400,Dining,4.3
FreshMenu,Yes,No,618,750,Dining,4
"Banashankari Donne Biriyani",No,No,1047,450,Dining,4
Wamama,Yes,No,627,450,Dining,3.9
"Five Star Chicken",Yes,No,104,300,Dining,3.8
"XO Belgian Waffle",Yes,Yes,354,800,other,4.2
"Peppy Peppers",No,No,55,200,Dining,3.6
"Goa 0 Km",Yes,No,17,400,Dining,3.7
"Chinese Kitchen",No,No,244,800,other,4.2
"Jeet Restaurant",Yes,Yes,163,800,Dining,3.6
"Cake of the Day",Yes,No,58,150,Dining,3.8
"Kabab Magic",No,Yes,808,850,Dining,4
"Namma Brahmin's Idli",No,No,78,150,Dining,3.7
"Gustoes Beer House",Yes,No,1720,400,Dining,4.1
