name,online_order,book_table,rate,votes,approx_cost(for two people),listed_in(type)
Jalsa,Yes,Yes,4.1/5,775.00,800.00,Buffet
Spice Elephant,Yes,No,4.1/5,787.00,800.00,Buffet
San Churro Cafe,Yes,No,3.8/5,918.00,800.00,Buffet
Addhuri Udupi Bhojana,No,No,3.7/5,88.00,300.00,Buffet
Grand Village,No,No,3.8/5,166.00,600.00,Buffet
Timepass Dinner,Yes,No,3.8/5,286.00,600.00,Buffet
Rosewood International Hotel - Bar & Restaurant,No,No,3.6/5,8.00,800.00,Buffet
Onesta,Yes,Yes,4.6/5,2556.00,600.00,Cafes
Penthouse Cafe,Yes,No,4.0/5,324.00,700.00,other
Smacznego,Yes,No,4.2/5,504.00,550.00,Cafes
Village Café,Yes,No,4.1/5,402.00,500.00,Cafes
Cafe Shuffle,Yes,Yes,4.2/5,150.00,600.00,Cafes
The Coffee Shack,Yes,Yes,4.2/5,164.00,500.00,Cafes
Caf-Eleven,No,No,4.0/5,424.00,450.00,Cafes
Cafe Vivacity,Yes,No,3.8/5,918.00,800.00,Cafes
Catch-up-ino,Yes,No,3.8/5,90.00,650.00,Cafes
Kirthi's Biryani,Yes,No,3.9/5,133.00,800.00,Cafes
T3H Cafe,Yes,No,3.8/5,144.00,700.00,Cafes
360 Atoms Restaurant And Cafe,No,No,3.9/5,93.00,300.00,Cafes
The Vintage Cafe,Yes,No,3.1/5,13.00,400.00,Cafes
Woodee Pizza,Yes,No,3.0/5,62.00,400.00,Cafes
Cafe Coffee Day,Yes,No,3.7/5,180.00,500.00,Cafes
My Tea House,No,No,3.6/5,28.00,900.00,Cafes
Hide Out Cafe,Yes,No,3.6/5,62.00,600.00,Cafes
CAFE NOVA,No,No,3.7/5,31.00,300.00,Cafes
Coffee Tindi,No,No,3.2/5,11.00,600.00,Cafes
Sea Green Cafe,Yes,No,3.8/5,75.00,200.00,Cafes
Cuppa,No,No,3.3/5,4.00,500.00,Cafes
Srinathji's Cafe,No,No,3.3/5,23.00,550.00,Cafes
Redberrys,No,No,3.8/5,148.00,550.00,Cafes
Foodiction,Yes,No,4.0/5,219.00,600.00,Cafes
Sweet Truth,Yes,No,2.8/5,506.00,500.00,other
Ovenstory Pizza,Yes,No,3.9/5,35.00,500.00,Dining
Faasos,Yes,No,3.9/5,172.00,750.00,Dining
Behrouz Biryani,Yes,No,4.2/5,415.00,500.00,other
Fast And Fresh,Yes,No,3.9/5,230.00,650.00,Dining
Szechuan Dragon,Yes,No,2.8/5,91.00,400.00,Dining
Empire Restaurant,Yes,No,4.2/5,1647.00,600.00,Dining
Maruthi Davangere Benne Dosa,Yes,No,4.4/5,4884.00,750.00,other
Chaatimes,Yes,No,4.0/5,17.00,150.00,Dining
Havyaka Mess,Yes,No,3.8/5,133.00,200.00,Dining
McDonald's,No,No,3.9/5,28.00,300.00,Dining
Domino's Pizza,Yes,No,3.9/5,286.00,500.00,Dining
Hotboxit,Yes,No,3.9/5,540.00,800.00,Dining
Kitchen Garden,Yes,Yes,4.6/5,2556.00,600.00,other
Recipe,No,No,3.8/5,36.00,400.00,Dining
Beijing Bites,Yes,No,3.6/5,244.00,300.00,Dining
Tasty Bytes,Yes,No,4.0/5,804.00,450.00,Dining
Petoo,Yes,No,3.7/5,679.00,850.00,Dining
Shree Cool Point,Yes,No,3.1/5,245.00,300.00,Dining
Corner House Ice Cream,No,No,3.7/5,21.00,450.00,Dining
Biryanis And More,Yes,No,4.1/5,28.00,150.00,Dining
Roving Feast,No,No,4.3/5,345.00,400.00,Dining
FreshMenu,Yes,No,4.0/5,618.00,750.00,Dining
Banashankari Donne Biriyani,No,No,4.0/5,1047.00,450.00,Dining
Wamama,Yes,No,3.9/5,627.00,450.00,Dining
Five Star Chicken,Yes,No,3.8/5,104.00,300.00,Dining
XO Belgian Waffle,Yes,Yes,4.2/5,354.00,800.00,other
Peppy Peppers,No,No,3.6/5,55.00,200.00,Dining
Goa 0 Km,Yes,No,3.7/5,17.00,400.00,Dining
Chinese Kitchen,No,No,4.2/5,244.00,800.00,other
Jeet Restaurant,Yes,Yes,3.6/5,163.00,800.00,Dining
Cake of the Day,Yes,No,3.8/5,58.00,150.00,Dining
Kabab Magic,No,Yes,4.0/5,808.00,850.00,Dining
Namma Brahmin's Idli,No,No,3.7/5,78.00,150.00,Dining
Gustoes Beer House,Yes,No,4.1/5,1720.00,400.00,Dining
Sugar Rush,Yes,No,3.6/5,34.00,100.00,Dining
Burger King,No,No,4.1/5,868.00,700.00,Dining
The Good Bowl,No,No,3.8/5,39.00,300.00,Dining
The Biryani Cafe,Yes,No,3.2/5,71.00,600.00,Dining
Spicy Tandoor,Yes,No,3.6/5,6.00,500.00,Dining
LSD Cafe,No,No,4.1/5,520.00,300.00,Dining
Rolls On Wheels,No,No,4.1/5,0.00,150.00,Dining
Om Sri Vinayaka Chats,No,No,2.9/5,84.00,700.00,other
Sri Guru Kottureshwara Davangere Benne Dosa,No,No,3.6/5,299.00,300.00,Dining
Devanna Dum Biriyani Centre,No,No,3.6/5,0.00,500.00,Dining
Kolbeh,Yes,No,4.1/5,558.00,150.00,Dining
Upahar Sagar,Yes,No,3.6/5,28.00,300.00,Dining
Kadalu Sea Food Restaurant,No,No,3.7/5,22.00,500.00,Dining
Frozen Bottle,No,No,3.8/5,39.00,350.00,Dining
Parimala Sweets,Yes,No,3.8/5,153.00,500.00,Dining
Vaishali Deluxe,Yes,No,4.2/5,146.00,400.00,Dining
Chill Out,No,No,3.5/5,14.00,200.00,Dining
The Big O Bakes,No,No,3.8/5,42.00,700.00,Dining
Meghana Foods,No,No,3.8/5,0.00,100.00,Dining
Krishna Sagar,No,No,4.0/5,66.00,300.00,Dining
Dessert Rose,Yes,No,4.4/5,4401.00,600.00,Dining
Chickpet Donne Biryani House,No,No,3.5/5,31.00,200.00,Dining
Me And My Cake,No,No,3.5/5,7.00,500.00,Dining
Sunsadm,No,No,3.7/5,21.00,250.00,Dining
Annapooraneshwari Mess,No,No,3.7/5,0.00,500.00,Dining
Thanco's Natural Ice Creams,No,No,3.7/5,0.00,400.00,Dining
Nandhini Deluxe,No,No,3.7/5,0.00,200.00,Dining
Vi Ra's Bar and Restaurant,No,No,3.2/5,9.00,300.00,Dining
Kaggis,No,No,2.6/5,283.00,600.00,Dining
Ayda Persian Kitchen,No,No,3.3/5,62.00,800.00,Dining
Chatar Patar,No,No,3.8/5,64.00,250.00,Dining
Polar Bear,No,No,3.7/5,39.00,950.00,Dining
Kidambi's Kitchen,No,No,3.7/5,65.00,300.00,Dining
Mane Thindi,Yes,No,3.8/5,71.00,400.00,Dining
Kotian Karavali Restaurant,No,No,3.5/5,52.00,300.00,Dining
Floured-Baked With Love,No,No,3.7/5,130.00,200.00,Dining
Cakes & Slices,No,No,3.5/5,10.00,300.00,Dining
Spice 9,No,No,3.8 /5,45.00,400.00,Dining
Coffee Shopee,No,No,3.2/5,11.00,600.00,Dining
Naveen Kabab & Biriyani Mane,No,No,3.5/5,13.00,300.00,Dining
Katriguppe Donne Biryani,No,No,3.4/5,8.00,300.00,Dining
Hari Super Sandwich,No,No,3.4/5,0.00,250.00,Dining
Atithi Point Ande Ka Funda,No,No,3.2/5,9.00,300.00,Dining
Just Bake,No,No,3.2/5,4.00,300.00,Dining
Dharwad Line Bazaar Mishra Pedha,No,No,3.2/5,0.00,200.00,Dining
Cake Bite,No,No,3.1/5,29.00,150.00,Dining
Aarush's Food Plaza,No,No,3.4/5,8.00,400.00,Dining
Wood Stove,No,No,3.4/5,0.00,150.00,Dining
Kulfi & More,No,No,3.4/5,0.00,300.00,Dining
Kannadigas Karavali,No,No,3.4/5,0.00,200.00,Dining
K27 - The Pub,No,No,3.4/5,0.00,150.00,Dining
Bengaluru Coffee House,No,No,3.4/5,0.00,150.00,Dining
New Mangalore Lunch Home,No,No,3.4/5,0.00,250.00,Dining
Coffee Bytes,No,No,3.1/5,30.00,900.00,Dining
Parjanya Chat Zone,Yes,No,4.1/5,201.00,300.00,Dining
Kwality Wall's Swirl's Happiness Station,No,No,3.3/5,7.00,200.00,Dining
Soms Kitchen & Bakes,No,No,3.1/5,6.00,100.00,Dining
Banashankari Nati Style,No,No,3.3/5,17.00,200.00,Dining
Ruchi Maayaka,No,No,2.9/5,25.00,200.00,Dining
